Survived Pclass Sex Age Parch Fare Embarked
0 1 male 64 5 263 S
0 2 male 31 1 10.5 S
1 2 female 45 2 26.25 S
0 3 male 20 1 9.5 S
0 3 male 25 1 7.775 S
1 2 female 28 1 13 S
1 1 male 4 3 81.8583 S
1 2 female 13 2 19.5 S
1 1 male 34 1 26.55 S
1 3 female 5 2 19.2583 C
1 1 male 52 1 30.5 S
0 2 male 36 3 27.75 S
0 1 male 30 1 27.75 C
1 1 male 49 1 89.1042 C
1 3 male 29 1 7.8958 C
0 1 male 65 1 26.55 S
1 2 female 50 1 10.5 S
1 1 male 48 1 26.55 S
0 3 male 34 1 8.05 S
0 1 male 47 1 38.5 S
0 2 male 48 1 13 S
0 3 male 38 1 7.05 S
0 1 male 56 1 26.55 S
1 3 female 0.75 2 19.2583 C
0 3 male 38 1 8.6625 S
1 2 female 33 3 27.75 S
1 2 female 23 1 13.7917 C
0 3 female 22 1 9.8375 S
0 2 male 34 1 21 S
0 3 male 29 1 7.0458 S
0 3 male 22 1 7.5208 S
1 3 female 2 2 12.2875 S
0 3 male 9 3 46.9 S
0 3 male 50 1 8.05 S
1 3 female 63 1 9.5875 S
1 1 male 25 1 91.0792 C
1 1 female 35 1 90 S
0 1 male 58 1 29.7 C
0 3 male 30 1 8.05 S
1 3 male 9 2 15.9 S
0 3 male 21 1 7.25 S
0 1 male 55 1 30.5 S
0 1 male 71 1 49.5042 C
0 3 male 21 1 8.05 S
1 1 female 54 1 78.2667 C
0 1 female 25 3 151.55 S
0 3 male 24 1 7.7958 S
0 3 male 17 1 8.6625 S
0 3 female 21 1 7.75 Q
0 3 female 37 1 9.5875 S
1 1 female 16 1 86.5 S
0 1 male 18 1 108.9 C
1 2 female 33 3 26 S
0 3 male 28 1 22.525 S
1 3 male 26 1 56.4958 S
1 3 male 29 1 7.75 Q
1 1 male 36 1 26.2875 S
1 1 female 54 1 59.4 C
0 3 male 24 1 7.4958 S
0 1 male 47 1 34.0208 S
1 2 female 34 1 10.5 S
1 2 female 36 1 26 S
0 3 male 32 1 7.8958 S
1 1 female 30 1 93.5 S
0 3 male 22 1 7.8958 S
1 1 female 44 2 57.9792 C
0 3 male 40.5 1 7.75 Q
1 2 female 50 1 10.5 S
0 3 male 39 1 7.925 S
0 2 male 23 2 11.5 S
1 2 female 2 2 26 S
0 3 male 17 2 7.2292 C
0 3 female 30 1 8.6625 S
1 2 female 7 3 26.25 S
0 1 male 45 1 26.55 S
1 1 female 30 1 106.425 C
1 1 female 22 3 49.5 C
1 1 female 36 3 71 S
0 3 female 9 3 31.275 S
0 3 female 11 3 31.275 S
1 2 male 32 1 26 S
0 1 male 50 1 106.425 C
0 1 male 64 1 26 S
1 2 female 19 1 26 S
0 3 male 33 2 20.525 S
1 2 male 8 2 36.75 S
1 1 male 17 3 110.8833 C
0 2 male 27 1 26 S
1 3 male 22 1 7.225 C
1 3 female 22 1 7.775 S
0 1 male 62 1 26.55 S
1 1 female 48 1 39.6 C
1 1 female 39 2 79.65 S
1 3 female 36 1 17.4 S
0 3 male 40 1 7.8958 S
0 2 male 28 1 13.5 S
0 3 male 24 1 24.15 S
0 3 male 19 1 7.8958 S
0 3 female 29 5 21.075 S
1 3 male 32 1 7.8542 S
1 2 male 62 1 10.5 S
1 1 female 53 1 51.4792 S
1 1 male 36 1 26.3875 S
0 3 male 16 1 8.05 S
0 3 male 19 1 14.5 S
1 2 female 34 1 13 S
1 1 female 39 1 55.9 S
1 3 male 32 1 7.925 S
1 2 female 25 2 30 S
1 1 female 39 2 110.8833 C
0 2 male 54 1 26 S
0 1 male 36 1 40.125 C
1 1 female 18 3 79.65 S
0 2 male 47 1 15 S
1 1 male 60 2 79.2 C
0 3 male 22 1 8.05 S
0 3 male 35 1 7.125 S
1 1 female 52 1 78.2667 C
0 3 male 47 1 7.25 S
0 2 male 37 1 26 S
0 3 male 36 2 24.15 S
0 3 male 49 1 0 S
1 1 male 49 1 56.9292 C
1 2 female 24 2 27 S
0 3 male 44 1 8.05 S
1 1 male 35 1 26.55 C
0 3 male 36 1 15.55 S
0 3 male 30 1 7.8958 S
1 1 male 27 1 30.5 S
1 2 female 22 3 41.5792 C
1 1 female 40 1 153.4625 S
0 3 female 39 6 31.275 S
0 3 male 35 1 8.05 S
1 2 female 24 3 65 S
0 3 male 34 2 14.4 S
0 3 female 26 1 16.1 S
1 2 female 4 2 39 S
0 2 male 26 1 10.5 S
0 3 male 27 1 14.4542 C
1 1 male 42 1 52.5542 S
1 3 male 20 2 15.7417 C
0 3 male 21 1 7.8542 S
0 3 male 21 1 16.1 S
0 1 male 61 1 32.3208 S
0 2 male 57 1 12.35 Q
1 1 female 21 1 77.9583 S
0 3 male 26 1 7.8958 S
1 1 male 80 1 30 S
0 3 male 51 1 7.0542 S
1 1 male 32 1 30.5 C
0 3 female 9 3 27.9 S
1 2 female 28 1 13 S
0 3 male 32 1 7.925 S
0 2 male 31 2 26.25 S
0 3 female 41 6 39.6875 S
0 3 male 20 1 7.8542 S
1 1 female 24 1 69.3 C
0 3 female 2 3 27.9 S
1 3 female 0.75 2 19.2583 C
1 1 male 48 1 76.7292 C
0 3 male 19 1 7.8958 S
1 1 male 56 1 35.5 C
1 3 female 23 1 7.55 S
1 2 female 18 2 23 S
0 3 male 21 1 8.4333 S
0 3 female 18 1 6.75 Q
0 2 male 24 1 73.5 S
0 3 female 32 2 15.5 Q
0 2 male 23 1 13 S
0 1 male 58 3 113.275 C
1 1 male 50 1 133.65 S
0 3 male 40 1 7.225 C
0 1 male 47 1 25.5875 S
0 3 male 36 1 7.4958 S
1 3 male 20 1 7.925 S
0 2 male 32 1 73.5 S
0 2 male 25 1 13 S
0 3 male 43 1 8.05 S
1 2 female 40 2 39 S
0 1 male 31 1 52 S
0 2 male 70 1 10.5 S
1 2 male 31 1 13 S
0 3 male 18 1 7.775 S
0 3 male 24.5 1 8.05 S
1 3 female 18 1 9.8417 S
0 3 female 43 7 46.9 S
1 1 male 36 2 512.3292 C
1 1 male 27 1 76.7292 C
0 3 male 20 1 9.225 S
0 3 male 14 3 46.9 S
0 2 male 60 2 39 S
0 2 male 25 3 41.5792 C
0 3 male 14 2 39.6875 S
0 3 male 19 1 10.1708 S
0 3 male 18 1 7.7958 S
1 1 female 15 2 211.3375 S
1 1 male 31 1 57 S
1 3 female 4 2 13.4167 C
0 3 male 25 1 7.225 C
0 1 male 60 1 26.55 S
0 2 male 52 1 13.5 S
0 3 male 44 1 8.05 S
0 1 male 49 2 110.8833 C
0 3 male 42 1 7.65 S
1 1 female 18 1 227.525 C
1 1 male 35 1 26.2875 S
0 3 female 18 2 14.4542 C
0 3 male 25 1 7.7417 Q
0 3 male 26 1 7.8542 S
0 2 male 39 1 26 S
1 2 female 45 1 13.5 S
1 1 male 42 1 26.2875 S
1 1 female 22 1 151.55 S
1 1 female 24 1 49.5042 C
1 1 male 48 1 52 S
0 3 male 29 1 9.4833 S
0 2 male 52 1 13 S
0 3 male 19 1 7.65 S
1 1 female 38 1 227.525 C
1 2 female 27 1 10.5 S
0 3 male 33 1 7.775 S
1 2 female 6 2 33 S
0 3 male 17 1 7.0542 S
0 2 male 34 1 13 S
0 2 male 50 1 13 S
1 1 male 27 1 53.1 S
0 3 male 20 1 8.6625 S
1 2 female 30 1 21 S
0 2 male 25 1 26 S
0 3 female 25 1 7.925 S
1 1 female 29 1 211.3375 S
0 3 male 11 1 18.7875 C
0 2 male 23 1 13 S
