Survived Pclass Sex Age Parch Fare Embarked
0 3 male 22 1 7.25 S
1 1 female 38 1 71.2833 C
1 3 female 26 1 7.925 S
1 1 female 35 1 53.1 S
0 3 male 35 1 8.05 S
0 1 male 54 1 51.8625 S
0 3 male 2 2 21.075 S
1 3 female 27 3 11.1333 S
1 2 female 14 1 30.0708 C
1 3 female 4 2 16.7 S
1 1 female 58 1 26.55 S
0 3 male 20 1 8.05 S
0 3 male 39 6 31.275 S
0 3 female 14 1 7.8542 S
1 2 female 55 1 16 S
0 3 male 2 2 29.125 Q
0 3 female 31 1 18 S
0 2 male 35 1 26 S
1 2 male 34 1 13 S
1 3 female 15 1 8.0292 Q
1 1 male 28 1 35.5 S
0 3 female 8 2 21.075 S
1 3 female 38 6 31.3875 S
0 1 male 19 3 263 S
0 1 male 40 1 27.7208 C
0 2 male 66 1 10.5 S
0 1 male 28 1 82.1708 C
0 1 male 42 1 52 S
0 3 male 21 1 8.05 S
0 3 female 18 1 18 S
1 3 female 14 1 11.2417 C
0 3 female 40 1 9.475 S
0 2 female 27 1 21 S
1 2 female 3 3 41.5792 C
1 3 female 19 1 7.8792 Q
0 3 female 18 1 17.8 S
0 3 male 7 2 39.6875 S
0 3 male 21 1 7.8 S
1 1 female 49 1 76.7292 C
1 2 female 29 1 26 S
0 1 male 65 2 61.9792 C
1 2 female 21 1 10.5 S
0 3 male 28.5 1 7.2292 C
1 2 female 5 3 27.75 S
0 3 male 11 3 46.9 S
0 3 male 22 1 7.2292 C
0 1 male 45 1 83.475 S
0 3 male 4 3 27.9 S
1 2 female 29 1 10.5 S
0 3 male 19 1 8.1583 S
1 3 female 17 3 7.925 S
0 3 male 26 1 8.6625 S
0 2 male 32 1 10.5 S
0 3 female 16 3 46.9 S
0 2 male 21 1 73.5 S
0 3 male 26 1 14.4542 C
1 3 male 32 1 56.4958 S
0 3 male 25 1 7.65 S
1 2 male 0.83 3 29 S
1 3 female 30 1 12.475 S
0 3 male 22 1 9 S
1 3 male 29 1 9.5 S
0 1 male 28 1 47.1 S
1 2 female 17 1 10.5 S
1 3 female 33 1 15.85 S
0 3 male 16 4 34.375 S
1 1 female 23 3 263 S
0 3 male 24 1 8.05 S
0 3 male 29 1 8.05 S
0 3 male 20 1 7.8542 S
0 1 male 46 1 61.175 S
0 3 male 26 3 20.575 S
0 3 male 59 1 7.25 S
0 1 male 71 1 34.6542 C
1 1 male 23 2 63.3583 C
1 2 female 34 2 23 S
0 2 male 34 1 26 S
0 3 female 28 1 7.8958 S
0 1 male 21 2 77.2875 S
0 3 male 33 1 8.6542 S
0 3 male 37 1 7.925 S
0 3 male 28 1 7.8958 S
1 3 female 21 1 7.65 S
0 3 male 38 1 7.8958 S
0 1 male 47 1 52 S
0 3 female 14.5 1 14.4542 C
0 3 male 22 1 8.05 S
0 3 female 20 1 9.825 S
0 3 female 17 1 14.4583 C
0 3 male 21 1 7.925 S
0 3 male 70.5 1 7.75 Q
0 2 male 29 1 21 S
0 1 male 24 2 247.5208 C
0 3 female 2 3 31.275 S
0 2 male 21 1 73.5 S
0 2 male 32.5 1 30.0708 C
1 2 female 32.5 1 13 S
0 1 male 54 2 77.2875 S
1 3 male 12 1 11.2417 C
1 3 male 24 1 7.1417 S
0 3 male 45 1 6.975 S
0 3 male 33 1 7.8958 C
0 3 male 20 1 7.05 S
0 3 female 47 1 14.5 S
1 2 female 29 1 26 S
0 2 male 25 1 13 S
0 2 male 23 1 15.0458 C
1 1 female 19 3 26.2833 S
0 1 male 37 1 53.1 S
0 3 male 16 1 9.2167 S
0 1 male 24 1 79.2 C
1 3 female 22 1 7.75 S
1 3 female 24 1 15.85 S
0 3 male 19 1 6.75 Q
0 2 male 18 1 11.5 S
0 2 male 19 2 36.75 S
1 3 male 27 1 7.7958 S
0 3 female 9 3 34.375 S
0 2 male 36.5 3 26 S
0 2 male 42 1 13 S
0 2 male 51 1 12.525 S
1 1 female 22 1 66.6 S
0 3 male 55.5 1 8.05 S
0 3 male 40.5 3 14.5 S
0 1 male 51 2 61.3792 C
1 3 female 16 1 7.7333 Q
0 3 male 30 1 8.05 S
0 3 male 44 2 16.1 S
1 2 female 40 1 15.75 S
0 3 male 26 1 7.775 S
0 3 male 17 1 8.6625 S
0 3 male 1 2 39.6875 S
1 3 male 9 3 20.525 S
0 3 female 45 5 27.9 S
0 3 male 28 1 56.4958 S
0 1 male 61 1 33.5 S
0 3 male 4 2 29.125 Q
1 3 female 1 2 11.1333 S
0 3 male 21 1 7.925 S
0 1 male 56 1 30.6958 C
0 3 male 18 2 7.8542 S
0 1 female 50 1 28.7125 C
0 2 male 30 1 13 S
0 3 male 36 1 0 S
0 3 male 9 3 31.3875 S
1 2 male 1 2 39 S
1 3 female 4 3 22.025 S
1 1 male 45 1 26.55 S
0 3 male 40 2 15.5 Q
0 3 male 36 1 7.8958 S
1 2 female 32 1 13 S
0 2 male 19 1 13 S
1 3 female 19 1 7.8542 S
1 2 male 3 2 26 S
1 1 female 44 1 27.7208 C
1 1 female 58 1 146.5208 C
0 3 male 42 2 8.4042 S
0 2 female 24 1 13 S
0 3 male 28 1 9.5 S
0 3 male 34 1 6.4958 S
